building_description_texts_short_description_small_rum_distillery_european|Produces up to 15 Rum each turn.
building_description_texts_long_description_small_foundry_european|\n\nIron and coal go in at one end and steel comes out at the other: the stuff of barrels, bayonets and great guns.\n\nA small foundry produces up to 50 Steel per turn, made 4 at a time from 2 Iron and 3 Coal - up to 25 Iron and 38 Coal a turn at full output. It can only be built where there is an industrial town.\n\nSteel is needed to make Cannon, Muskets.
building_description_texts_short_description_large_foundry_european|Produces up to 85 Steel each turn. Every 4 need 2 Iron and 3 Coal.
building_description_texts_long_description_large_foundry_european|\n\nIron and coal go in at one end and steel comes out at the other: the stuff of barrels, bayonets and great guns.\n\nA large foundry produces up to 85 Steel per turn, made 4 at a time from 2 Iron and 3 Coal - up to 43 Iron and 64 Coal a turn at full output. It can only be built where there is an industrial town.\n\nSteel is needed to make Cannon, Muskets.
building_description_texts_short_description_grand_foundry_european|Produces up to 135 Steel each turn. Every 4 need 2 Iron and 3 Coal.
building_description_texts_long_description_grand_foundry_european|\n\nIron and coal go in at one end and steel comes out at the other: the stuff of barrels, bayonets and great guns.\n\nA grand foundry produces up to 135 Steel per turn, made 4 at a time from 2 Iron and 3 Coal - up to 68 Iron and 102 Coal a turn at full output. It can only be built where there is an industrial town.\n\nSteel is needed to make Cannon, Muskets.
building_description_texts_short_description_small_powder_mill_european|Produces up to 50 Gunpowder each turn. Every 4 need 3 Saltpetre and 1 Coal.
building_description_texts_long_description_small_powder_mill_european|\n\nSaltpetre and charcoal, ground fine and corned into grains. Powder mills are built well away from anything that matters, and for excellent reason.\n\nA small powder mill produces up to 50 Gunpowder per turn, made 4 at a time from 3 Saltpetre and 1 Coal - up to 38 Saltpetre and 13 Coal a turn at full output. It can only be built where there is an ordnance site.\n\nGunpowder is needed to make Ammunition.
building_description_texts_short_description_large_powder_mill_european|Produces up to 85 Gunpowder each turn. Every 4 need 3 Saltpetre and 1 Coal.
building_description_texts_long_description_large_powder_mill_european|\n\nSaltpetre and charcoal, ground fine and corned into grains. Powder mills are built well away from anything that matters, and for excellent reason.\n\nA large powder mill produces up to 85 Gunpowder per turn, made 4 at a time from 3 Saltpetre and 1 Coal - up to 64 Saltpetre and 22 Coal a turn at full output. It can only be built where there is an ordnance site.\n\nGunpowder is needed to make Ammunition.
building_description_texts_short_description_grand_powder_mill_european|Produces up to 135 Gunpowder each turn. Every 4 need 3 Saltpetre and 1 Coal.
building_description_texts_long_description_grand_powder_mill_european|\n\nSaltpetre and charcoal, ground fine and corned into grains. Powder mills are built well away from anything that matters, and for excellent reason.\n\nA grand powder mill produces up to 135 Gunpowder per turn, made 4 at a time from 3 Saltpetre and 1 Coal - up to 102 Saltpetre and 34 Coal a turn at full output. It can only be built where there is an ordnance site.\n\nGunpowder is needed to make Ammunition.
building_description_texts_short_description_small_cartridge_works_european|Produces up to 50 Ammunition each turn. Every 4 need 2 Gunpowder and 1 Lead.
building_description_texts_long_description_small_cartridge_works_european|\n\nPowder and ball wrapped in paper, made by the hundred thousand. A soldier without cartridges is a man holding an expensive club.\n\nA small cartridge works produces up to 50 Ammunition per turn, made 4 at a time from 2 Gunpowder and 1 Lead - up to 25 Gunpowder and 13 Lead a turn at full output. It can only be built where there is an ordnance site.
building_description_texts_short_description_large_cartridge_works_european|Produces up to 85 Ammunition each turn. Every 4 need 2 Gunpowder and 1 Lead.
building_description_texts_long_description_large_cartridge_works_european|\n\nPowder and ball wrapped in paper, made by the hundred thousand. A soldier without cartridges is a man holding an expensive club.\n\nA large cartridge works produces up to 85 Ammunition per turn, made 4 at a time from 2 Gunpowder and 1 Lead - up to 43 Gunpowder and 22 Lead a turn at full output. It can only be built where there is an ordnance site.
building_description_texts_short_description_grand_cartridge_works_european|Produces up to 135 Ammunition each turn. Every 4 need 2 Gunpowder and 1 Lead.
building_description_texts_long_description_grand_cartridge_works_european|\n\nPowder and ball wrapped in paper, made by the hundred thousand. A soldier without cartridges is a man holding an expensive club.\n\nA grand cartridge works produces up to 135 Ammunition per turn, made 4 at a time from 2 Gunpowder and 1 Lead - up to 68 Gunpowder and 34 Lead a turn at full output. It can only be built where there is an ordnance site.
building_description_texts_short_description_small_musket_manufactory_european|Produces up to 50 Muskets each turn. Every 4 need 4 Steel and 1 Timber.
building_description_texts_long_description_small_musket_manufactory_european|\n\nLock, stock and barrel, made to a pattern so that any part fits any weapon. Standardisation is worth more to an army than craftsmanship.\n\nA small musket manufactory produces up to 50 Muskets per turn, made 4 at a time from 4 Steel and 1 Timber - up to 50 Steel and 13 Timber a turn at full output. It can only be built where there is an industrial town.
building_description_texts_short_description_large_musket_manufactory_european|Produces up to 85 Muskets each turn. Every 4 need 4 Steel and 1 Timber.
building_description_texts_long_description_large_musket_manufactory_european|\n\nLock, stock and barrel, made to a pattern so that any part fits any weapon. Standardisation is worth more to an army than craftsmanship.\n\nA large musket manufactory produces up to 85 Muskets per turn, made 4 at a time from 4 Steel and 1 Timber - up to 85 Steel and 22 Timber a turn at full output. It can only be built where there is an industrial town.
building_description_texts_short_description_grand_musket_manufactory_european|Produces up to 135 Muskets each turn. Every 4 need 4 Steel and 1 Timber.
building_description_texts_long_description_grand_musket_manufactory_european|\n\nLock, stock and barrel, made to a pattern so that any part fits any weapon. Standardisation is worth more to an army than craftsmanship.\n\nA grand musket manufactory produces up to 135 Muskets per turn, made 4 at a time from 4 Steel and 1 Timber - up to 135 Steel and 34 Timber a turn at full output. It can only be built where there is an industrial town.
building_description_texts_short_description_small_cannon_works_european|Produces up to 4 Cannon each turn. Every 1 need 6 Steel and 2 Coal.
building_description_texts_long_description_small_cannon_works_european|\n\nGreat guns are cast, bored and proofed here. A single flaw in the casting bursts the barrel and kills the crew that served it.\n\nA small cannon works produces up to 4 Cannon per turn, made 1 at a time from 6 Steel and 2 Coal - up to 24 Steel and 8 Coal a turn at full output. It can only be built where there is an ordnance site.
building_description_texts_short_description_large_cannon_works_european|Produces up to 7 Cannon each turn. Every 1 need 6 Steel and 2 Coal.
building_description_texts_long_description_large_cannon_works_european|\n\nGreat guns are cast, bored and proofed here. A single flaw in the casting bursts the barrel and kills the crew that served it.\n\nA large cannon works produces up to 7 Cannon per turn, made 1 at a time from 6 Steel and 2 Coal - up to 42 Steel and 14 Coal a turn at full output. It can only be built where there is an ordnance site.
building_description_texts_short_description_grand_cannon_works_european|Produces up to 11 Cannon each turn. Every 1 need 6 Steel and 2 Coal.
building_description_texts_long_description_grand_cannon_works_european|\n\nGreat guns are cast, bored and proofed here. A single flaw in the casting bursts the barrel and kills the crew that served it.\n\nA grand cannon works produces up to 11 Cannon per turn, made 1 at a time from 6 Steel and 2 Coal - up to 66 Steel and 22 Coal a turn at full output. It can only be built where there is an ordnance site.
building_description_texts_short_description_small_weavers_mill_european|Produces up to 50 Textiles each turn. Every 4 need 2 Cotton and 1 Coal.
building_description_texts_long_description_small_weavers_mill_european|\n\nRaw cotton is carded, spun and woven into cloth by the bolt, in quantities no cottage loom could match.\n\nA small weavers mill produces up to 50 Textiles per turn, made 4 at a time from 2 Cotton and 1 Coal - up to 25 Cotton and 13 Coal a turn at full output. It can only be built where there is a textile town.\n\nTextiles is needed to make Uniforms.
building_description_texts_short_description_large_weavers_mill_european|Produces up to 85 Textiles each turn. Every 4 need 2 Cotton and 1 Coal.
building_description_texts_long_description_large_weavers_mill_european|\n\nRaw cotton is carded, spun and woven into cloth by the bolt, in quantities no cottage loom could match.\n\nA large weavers mill produces up to 85 Textiles per turn, made 4 at a time from 2 Cotton and 1 Coal - up to 43 Cotton and 22 Coal a turn at full output. It can only be built where there is a textile town.\n\nTextiles is needed to make Uniforms.
building_description_texts_short_description_grand_weavers_mill_european|Produces up to 135 Textiles each turn. Every 4 need 2 Cotton and 1 Coal.
building_description_texts_long_description_grand_weavers_mill_european|\n\nRaw cotton is carded, spun and woven into cloth by the bolt, in quantities no cottage loom could match.\n\nA grand weavers mill produces up to 135 Textiles per turn, made 4 at a time from 2 Cotton and 1 Coal - up to 68 Cotton and 34 Coal a turn at full output. It can only be built where there is a textile town.\n\nTextiles is needed to make Uniforms.
building_description_texts_short_description_small_uniform_works_european|Produces up to 50 Uniforms each turn. Every 4 need 4 Textiles.
building_description_texts_long_description_small_uniform_works_european|\n\nCloth becomes coats. An army marches on its stomach, but it is recognised by its facings.\n\nA small uniform works produces up to 50 Uniforms per turn, made 4 at a time from 4 Textiles - up to 50 Textiles a turn at full output. It can only be built where there is a textile town.
building_description_texts_short_description_large_uniform_works_european|Produces up to 85 Uniforms each turn. Every 4 need 4 Textiles.
building_description_texts_long_description_large_uniform_works_european|\n\nCloth becomes coats. An army marches on its stomach, but it is recognised by its facings.\n\nA large uniform works produces up to 85 Uniforms per turn, made 4 at a time from 4 Textiles - up to 85 Textiles a turn at full output. It can only be built where there is a textile town.
building_description_texts_short_description_grand_uniform_works_european|Produces up to 135 Uniforms each turn. Every 4 need 4 Textiles.
building_description_texts_long_description_grand_uniform_works_european|\n\nCloth becomes coats. An army marches on its stomach, but it is recognised by its facings.\n\nA grand uniform works produces up to 135 Uniforms per turn, made 4 at a time from 4 Textiles - up to 135 Textiles a turn at full output. It can only be built where there is a textile town.
building_description_texts_short_description_small_naval_yard_european|Produces up to 25 Naval Supplies each turn. Every 4 need 3 Timber and 1 Iron.
building_description_texts_long_description_small_naval_yard_european|\n\nTimber, tar, cordage and iron fittings: the unglamorous stores without which no fleet keeps the sea.\n\nA small naval supply yard produces up to 25 Naval Supplies per turn, made 4 at a time from 3 Timber and 1 Iron - up to 19 Timber and 7 Iron a turn at full output. It can only be built where there is a port.
building_description_texts_short_description_large_naval_yard_european|Produces up to 43 Naval Supplies each turn. Every 4 need 3 Timber and 1 Iron.
building_description_texts_long_description_large_naval_yard_european|\n\nTimber, tar, cordage and iron fittings: the unglamorous stores without which no fleet keeps the sea.\n\nA large naval supply yard produces up to 43 Naval Supplies per turn, made 4 at a time from 3 Timber and 1 Iron - up to 33 Timber and 11 Iron a turn at full output. It can only be built where there is a port.
building_description_texts_short_description_grand_naval_yard_european|Produces up to 68 Naval Supplies each turn. Every 4 need 3 Timber and 1 Iron.
building_description_texts_long_description_grand_naval_yard_european|\n\nTimber, tar, cordage and iron fittings: the unglamorous stores without which no fleet keeps the sea.\n\nA grand naval supply yard produces up to 68 Naval Supplies per turn, made 4 at a time from 3 Timber and 1 Iron - up to 51 Timber and 17 Iron a turn at full output. It can only be built where there is a port.
effects_description_commodity_prod_ammunition|%n hundreds of ammunition produced each turn
effects_description_commodity_prod_cannon|%n hundreds of cannon produced each turn
effects_description_commodity_prod_coal|%n tonnage of coal produced each turn
effects_description_commodity_prod_corn|%n sacks of grain produced each turn
effects_description_commodity_prod_gunpowder|%n barrels of gunpowder produced each turn
effects_description_commodity_prod_iron|%n tonnage of iron produced each turn
effects_description_commodity_prod_lead|%n tonnage of lead produced each turn
effects_description_commodity_prod_muskets|%n hundreds of muskets produced each turn
effects_description_commodity_prod_naval_supplies|%n tonnage of naval supplies produced each turn
effects_description_commodity_prod_rum|%n barrels of rum produced each turn
effects_description_commodity_prod_saltpetre|%n barrels of saltpetre produced each turn
effects_description_commodity_prod_steel|%n tonnage of steel produced each turn
effects_description_commodity_prod_textiles|%n bales of textiles produced each turn
effects_description_commodity_prod_timber|%n tonnage of timber produced each turn
effects_description_commodity_prod_uniforms|%n bales of uniforms produced each turn
